slot,dx_entity,call,location,lat,lon,grid_sq
1,United Nations,4U1UN,New York City,40.75,-73.97,FN3¯as
2,Canada,VE8AT,"Eureka, Nunavut",79.98,-85.95,EQ79ax
3,United States,W6WX,Mt. Umunhum,37.15,-121.90,CM97bd
4,Hawaii,KH6WO,Laie,21.63,-157.92,BL11ap
5,New Zealand,ZL6B,Masterton,-41.05,175.60,RE78tw
6,Australia,VK6RBP,Rolystone,-32.10,116.05,OF87av
7,Japan,JA2IGY,Mt. Asama,34.45,136.78,PM84jk
8,Russia,RR9O,Novosibirsk,54.98,82.90,NO14kx
9,Hong Kong,VR2B,Hong Kong,22.27,114.15,OL72bg
10,Sri Lanka,4S7B,Colombo,6.10,80.22,NJ06cc
11,South Africa,ZS6DN,Pretoria,-25.91,28.26,KG44dc
12,Kenya,5Z4B,Kariobangi,-1.25,36.88,KI88ks
13,Israel,4X6TU,Tel Aviv,32.05,34.77,KM72jb
14,Finland,OH2B,Lohja,60.32,24.83,KP2¯
15,Madeira,CS3B,Santo da Serra,32.72,-16.80,IM12or
16,Argentina,LU4AA,Buenos Aires,-34.62,-58.35,GF¯5tj
17,Peru,OA4B,Lima,-12.07,-76.95,FH17mw
18,Venezuela,YV5B,Caracas,10.42,-66.85,FK6¯nj
